id,icao,iata,name,city,state,country,elevation,lat,lon,tz,createdAt,updatedAt
6463,CKA9,,Southend Airport,Southend,Saskatchewan,CA,1120,56.33720016,-103.2929993,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6464,CKB2,,Patuanak Airport,Patuanak,Saskatchewan,CA,1426,55.90000153,-107.7210007,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6465,CKB6,YAX,Wapekeka Airport,Angling Lake,Ontario,CA,712,53.8492012,-89.57939911,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6466,CKB7,,Roblin Airport,Roblin,Manitoba,CA,1821,51.2344017,-101.3929977,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6467,CKB8,,Silver Falls Airport,Silver Falls,Manitoba,CA,775,50.5,-96.09809875,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6468,CKC6,,Lanigan Airport,Lanigan,Saskatchewan,CA,1750,51.84529877,-104.9919968,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6469,CKC7,,Rockglen Airport,Rockglen,Saskatchewan,CA,2700,49.16669846,-105.9329987,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6470,CKC8,,Somerset Airport,Somerset,Manitoba,CA,1563,49.40029907,-98.69249725,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6471,CKC9,,Pangman Airport,Pangman,Saskatchewan,CA,2300,49.64640045,-104.6660004,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6472,CKD2,,Porcupine Plain Airport,Porcupine Plain,Saskatchewan,CA,1635,52.61970139,-103.2480011,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6473,CKD5,,Kipling Airport,Kipling,Saskatchewan,CA,2157,50.0992012,-102.6070023,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6474,CKD7,,Roland (Graham Field) Airport,Roland,Manitoba,CA,865,49.40829849,-97.99060059,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6475,CKD8,,Kirkfield / Balsam Lake Airfield,,Ontario,CA,864,44.53998765,-78.88926029,America/Toronto,2020-08-18 12:04:00,2020-08-18 12:04:00
6476,CKD9,,Slate Falls Airport,Slate Falls,Ontario,CA,1355,51.13000107,-91.66560364,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6477,CKE2,,Quill Lake Airport,Quill Lake,Saskatchewan,CA,1750,52.06669998,-104.2669983,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6478,CKE8,,Unity Airport,Unity,Saskatchewan,CA,2090,52.44580078,-109.1849976,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6479,CKF2,,Radville Airport,Radville,Saskatchewan,CA,2067,49.46060181,-104.2720032,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6480,CKF4,,Goodsoil Airport,Goodsoil,Saskatchewan,CA,1750,54.41669846,-109.2330017,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6481,CKF6,,Macgregor Airport,Macgregor,Manitoba,CA,950,49.96670151,-98.75,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6482,CKF9,,De Lesseps Lake Airport,De Lesseps Lake,Ontario,CA,1312,50.71749878,-90.68360138,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6483,CKG2,,Riverton Airport,Riverton,Manitoba,CA,725,50.97169876,-97.01110077,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6484,CKG5,,Manitou Airport,Manitou,Manitoba,CA,1592,49.25,-98.53330231,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6485,CKG8,,Kakabeka Falls Airport,Kakabeka Falls,Ontario,CA,1000,48.41830063,-89.60189819,America/Toronto,2020-08-18 12:04:00,2020-08-18 12:04:00
6486,CKH2,,Rocanville Airport,Rocanville,Saskatchewan,CA,1585,50.46469879,-101.5540009,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6487,CKH3,,Debden Airport,Debden,Saskatchewan,CA,1700,53.5318985,-106.8840027,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6488,CKH7,,Spiritwood Airport,Spiritwood,Saskatchewan,CA,1915,53.36330032,-107.5479965,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6489,CKH8,,Lumsden (Colhoun) Airport,Lumsden,Saskatchewan,CA,1900,50.66749954,-104.7890015,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6490,CKJ2,,Rosenort Airport,Rosenort,Manitoba,CA,779,49.4530983,-97.42250061,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6491,CKJ4,,Hanley Airport,Hanley,Saskatchewan,CA,1925,51.62419891,-106.4420013,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6492,CKJ7,,Starbuck Airport,Starbuck,Manitoba,CA,785,49.71670151,-97.6832962,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6493,CKJ8,,Molson Lake Airport,Molson Lake,Manitoba,CA,750,54.2580986,-97.01110077,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
