20063,SAHZ,APZ,Zapala Airport,Zapala,Neuquen,AR,3330,-38.9754982,-70.11360168,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20064,SAMA,,General Alvear Airport,General Alvear,Mendoza,AR,1489,-35.05889893,-67.69280243,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20065,SAMC,,Cristo Redentor Airport,Cristo Redentor,,AR,10477,-32.80730057,-70.06819916,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20066,SAME,MDZ,El Plumerillo Airport,Mendoza,Mendoza,AR,2310,-32.83169937,-68.79290009,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20067,SAMH,,Valle Hermoso Airport,Valle Hermoso,Mendoza,AR,2500,-35.14619827,-70.20539856,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20068,SAMI,,San Martin Airport,San Martin,Mendoza,AR,2154,-33.0625,-68.50830078,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20069,SAMJ,,Jachal Airport,Jachal,San-Juan,AR,3790,-30.24950027,-68.74019623,America/Argentina/San_Juan,2020-08-18 12:04:00,2020-08-18 12:04:00
20070,SAML,,Punta De Vacas Airport,Punta de Vacas,Mendoza,AR,7906,-32.854599,-69.76049805,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20071,SAMM,LGS,Comodoro D.R. Salomon Airport,Malargue,Mendoza,AR,4685,-35.49359894,-69.57430267,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20072,SAMP,,La Paz Airport,La Paz,Mendoza,AR,0,-33.467,-67.55,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20073,SAMQ,,Mendoza Airpark,Mendoza,Mendoza,AR,2694,-32.86529922,-68.87190247,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20074,SAMR,AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Mendoza,AR,2470,-34.5882988,-68.40390015,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20075,SAMS,,San Carlos Airport,San Carlos,Mendoza,AR,3050,-33.77569962,-69.05370331,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20076,SAMU,,Uspallata Airport,Uspallata,Mendoza,AR,6525,-32.53889847,-69.34580231,America/Argentina/Mendoza,2020-08-18 12:04:00,2020-08-18 12:04:00
20077,SANC,CTC,Catamarca Airport,Catamarca,Catamarca,AR,1522,-28.59560013,-65.75170136,America/Argentina/Catamarca,2020-08-18 12:04:00,2020-08-18 12:04:00
20078,SANE,SDE,Vicecomodoro Angel D. La Paz Aragones Airport,Santiago del Estero,Santiago-del-Estero,AR,656,-27.76555634,-64.30999756,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20079,SANH,RHD,Las Termas Airport,Rio Hondo,Santiago-del-Estero,AR,270,-27.47369957,-64.90550232,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20080,SANI,,Tinogasta Airport,Tinogasta,Catamarca,AR,3968,-28.03779984,-67.58029938,America/Argentina/Catamarca,2020-08-18 12:04:00,2020-08-18 12:04:00
20081,SANL,IRJ,Capitan V A Almonacid Airport,La Rioja,La-Rioja,AR,1437,-29.38159943,-66.79579926,America/Argentina/La_Rioja,2020-08-18 12:04:00,2020-08-18 12:04:00
